epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.533,1.42481,3.36327,1.56423,0.01981,0.50942,0.1228,0.06953,1.38946,3.58663,1.78736,0.00023331,0.00023331,0.00023331
2,42.2688,1.36439,2.35515,1.51837,0.55776,0.06779,0.26998,0.14276,1.58261,3.25989,1.88013,0.000473,0.000473,0.000473
3,51.9435,1.41421,1.95549,1.50432,0.66035,0.17283,0.30625,0.16097,1.69495,2.85263,2.07774,0.000707851,0.000707851,0.000707851
4,60.2739,1.40487,1.78795,1.48839,0.51018,0.40695,0.42178,0.22901,1.67242,2.43509,2.05288,0.000937863,0.000937863,0.000937863
5,69.6131,1.5001,1.85429,1.56855,0.53716,0.42306,0.41817,0.20835,1.78292,2.40036,2.13801,0.001067,0.001067,0.001067
6,78.4306,1.43214,1.78142,1.53168,0.65248,0.46911,0.53285,0.27393,1.68987,2.32402,2.11324,0.00105601,0.00105601,0.00105601
7,86.7948,1.40763,1.70942,1.52221,0.49662,0.48343,0.48618,0.25358,1.749,2.43041,2.13397,0.00104501,0.00104501,0.00104501
8,96.3529,1.42056,1.69382,1.52008,0.4197,0.45545,0.3855,0.20191,1.69944,2.86455,2.13153,0.00103401,0.00103401,0.00103401
9,106.484,1.39379,1.60554,1.49001,0.62019,0.46928,0.51275,0.26978,1.79739,2.46718,2.14746,0.00102301,0.00102301,0.00102301
10,113.938,1.38102,1.58403,1.49635,0.55972,0.55542,0.51704,0.28417,1.6206,2.15579,1.98729,0.00101201,0.00101201,0.00101201
11,123.267,1.36506,1.62297,1.54795,0.75758,0.52243,0.60167,0.31949,1.74033,2.01983,2.1647,0.00100101,0.00100101,0.00100101
12,132.431,1.37269,1.52877,1.49217,0.63252,0.52431,0.5522,0.28634,1.69225,2.01613,1.99093,0.000990012,0.000990012,0.000990012
13,141.369,1.35711,1.46117,1.47879,0.60653,0.45096,0.49215,0.25265,1.83887,2.06553,2.30836,0.000979013,0.000979013,0.000979013
14,152.702,1.38261,1.46991,1.53371,0.64277,0.54841,0.58215,0.33769,1.58404,1.73021,1.86487,0.000968014,0.000968014,0.000968014
15,160.971,1.34068,1.45039,1.49932,0.56466,0.53389,0.53471,0.29819,1.70931,1.84652,1.95972,0.000957015,0.000957015,0.000957015
16,170.231,1.35729,1.36509,1.45014,0.62227,0.55452,0.5909,0.32467,1.71883,1.82875,1.95235,0.000946016,0.000946016,0.000946016
17,178.74,1.31173,1.33978,1.4495,0.77562,0.5318,0.64255,0.3532,1.71795,1.57114,2.02683,0.000935018,0.000935018,0.000935018
18,187.195,1.31134,1.29723,1.45838,0.71354,0.65726,0.65595,0.35218,1.6229,1.66727,1.90145,0.000924019,0.000924019,0.000924019
19,196.681,1.31711,1.38322,1.48693,0.73018,0.56042,0.66066,0.36867,1.61672,1.6601,1.89944,0.00091302,0.00091302,0.00091302
20,207.145,1.33849,1.25111,1.42612,0.74448,0.61132,0.67024,0.37401,1.63068,1.58656,1.97958,0.000902021,0.000902021,0.000902021
21,214.298,1.25293,1.22061,1.41633,0.80088,0.59691,0.67125,0.35254,1.76769,1.55639,2.08662,0.000891022,0.000891022,0.000891022
22,224.423,1.29407,1.20704,1.44119,0.77161,0.61512,0.67918,0.34607,1.87958,1.62646,2.19857,0.000880023,0.000880023,0.000880023
23,233.407,1.23785,1.20893,1.3766,0.70791,0.60227,0.67445,0.36857,1.5852,1.53197,1.88505,0.000869024,0.000869024,0.000869024
24,241.402,1.27304,1.19709,1.39919,0.76429,0.5925,0.65914,0.36619,1.61158,1.58335,1.91257,0.000858025,0.000858025,0.000858025
25,250.722,1.22456,1.11916,1.37507,0.72365,0.57847,0.63978,0.3542,1.63082,1.67246,1.92678,0.000847026,0.000847026,0.000847026
26,259.411,1.2327,1.12303,1.39217,0.7969,0.64212,0.70384,0.37877,1.64111,1.47706,1.97439,0.000836027,0.000836027,0.000836027
27,267.565,1.22215,1.07617,1.35209,0.75658,0.61262,0.67034,0.37104,1.57428,1.60032,1.87263,0.000825029,0.000825029,0.000825029
28,277.321,1.26412,1.12253,1.38841,0.75749,0.64307,0.70909,0.38816,1.55562,1.45096,1.86201,0.00081403,0.00081403,0.00081403
29,285.561,1.25285,1.0959,1.38126,0.76515,0.63775,0.69644,0.39493,1.54799,1.44603,1.8747,0.000803031,0.000803031,0.000803031
30,294.113,1.21491,1.03485,1.34234,0.83348,0.58739,0.70499,0.39493,1.55469,1.37178,1.82512,0.000792032,0.000792032,0.000792032
31,304.002,1.2456,1.08983,1.3807,0.7222,0.66703,0.69395,0.39707,1.5333,1.42592,1.83508,0.000781033,0.000781033,0.000781033
32,311.512,1.19744,0.99008,1.36355,0.77034,0.7031,0.74933,0.42752,1.58595,1.33863,1.86268,0.000770034,0.000770034,0.000770034
33,321.282,1.20524,1.00503,1.34031,0.71345,0.6816,0.74241,0.43912,1.51038,1.31982,1.77072,0.000759035,0.000759035,0.000759035
34,331.208,1.19289,1.02556,1.30877,0.75686,0.65291,0.71764,0.4012,1.52436,1.32348,1.79161,0.000748036,0.000748036,0.000748036
35,338.593,1.15785,1.00383,1.33845,0.82329,0.66712,0.74673,0.44381,1.5169,1.24902,1.81262,0.000737037,0.000737037,0.000737037
36,347.687,1.15975,0.98956,1.33906,0.77764,0.69038,0.71994,0.41381,1.55814,1.2548,1.86116,0.000726038,0.000726038,0.000726038
